phase_id,phase_title,task_id,task_title,primary_owner,supporting_agents,execution_mode,parallel_group,risk,depends_on,allowed_paths,objective,validation,acceptance,acceptance_tier,acceptance_agents,acceptance_outcome,evidence,stop_if
HW-01,共享契约内核与干净数据库基线,HW01-04,建立 Observability 与 Audit Kernel,terra_worker,luna_fixtures | terra_reviewer,workspace-write,B,medium,HW01-01,packages/observability/** | packages/audit-contracts/**,统一 trace、correlation、structured log、audit actor/action/result 和脱敏。,redaction tests | trace propagation fixtures | audit schema tests,日志可关联但不能反向暴露 Session/Token/患者敏感正文 | 测试可断言审计而不依赖外部 collector,terra,terra_reviewer,APPROVED,observability-contract-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-05,创建 Prisma 多文件空基线,parent_codex,terra_contracts | terra_tester | terra_security,workspace-write,C,critical,HW01-01 | HW01-03,database/** | packages/database-runtime/** | prisma.config.ts,建立全新的单迁移谱系和按领域文件拆分的 PostgreSQL schema，只包含 Foundation 所需的 iam/config/audit 元数据。,prisma validate/generate | empty database migrate | migration replay twice | rollback/rebuild rehearsal,新 migration 从 0001 开始 | 没有 feedback/handover/ticket/legacy session 表 | 所有 seed 为 synthetic 且幂等,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,database-baseline-report.md | migration-hashes.json | rebuild-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-06,建立 repository-only 数据访问门,terra_worker,terra_security | terra_reviewer,workspace-write,D,high,HW01-05,packages/database-runtime/** | scripts/governance/** | docs/governance/**,限制原始 Prisma Client 只在明确 repository 模块中使用，防止服务跨领域直接写表。,boundary positive/negative tests | deep import scan | cross-schema write fixture,所有数据访问有 owner | 任意 service handler 直接调用 Prisma 被阻断,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,repository-boundary-report.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-07,建立 Testkit 与 deterministic fixtures,luna_fixtures,terra_tester,workspace-write,D,low,HW01-01 | HW01-02 | HW01-04,packages/testkit/**,提供 synthetic 人员、组织、上下文、命令、事件、时钟和失败注入，避免各服务重复造 Mock。,testkit self-tests | seed determinism hash,同 seed 产生相同 fixture | 不含真实医院/患者/员工数据,terra,terra_reviewer,APPROVED,testkit-fixture-catalog.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-08,Core Kernel Gate,parent_codex,terra_reviewer | terra_security,read-only,E,critical,HW01-02 | HW01-04 | HW01-05 | HW01-06 | HW01-07,packages/** | database/** | prisma.config.ts | scripts/governance/**,确认共享内核足够小、纯、版本化，数据库是新谱系且无跨域捷径。,pnpm check | database rebuild | contract fixtures | security review,P0/P1 为零 | 允许进入身份和平台服务开发,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,G01-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-01,定义 Principal、Person 与 Organization Contracts,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,,packages/identity-contracts/** | packages/contracts-core/** | database/prisma/models/iam.prisma,区分外部认证身份、医院人员主数据、组织归属、岗位角色和运行时 Principal。,contract tests | mapping conflict fixtures | schema validation,外部 identity 与 Person 可独立演进 | Principal 可在每次请求重建/验证,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,identity-contract-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-02,迁移并净化医院 Identity Bridge,terra_migrator,luna_explorer | terra_tester | terra_security,workspace-write,B,high,HW02-01,services/gateway/src/identity/** | packages/identity-adapter/** | docs/migration/**,从 legacy 身份桥和 HIS credential authority 中抽取协议、重试、映射和测试，不复制旧 Portal UI 或 Session 表。,legacy source verification | adapter contract tests | credential redaction tests,新代码不依赖 `hospital-sso-starter` | 无旧 UI/Session model 进入新仓,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,identity-migration-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-03,实现 Gateway/BFF 与 Logto 回调,parent_codex,terra_worker | terra_tester | terra_security,workspace-write,C,critical,HW02-01 | HW02-02,services/gateway/** | packages/api-client/** | database/prisma/models/iam.prisma | database/prisma/models/config.prisma,建立唯一浏览器/桌面 Web Session 入口，客户端不直接保管 OIDC Token。,OIDC callback tests | CSRF | open redirect | cookie attribute | token leakage scan,Rust/React 不能读取 OIDC Token | Cookie 不进入 localStorage/URL/log,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,gateway-auth-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-04,实现 Redis-only Session Authority,parent_codex,terra_worker | terra_tester | terra_security,workspace-write,C,critical,HW02-03 | HW01-03,services/gateway/src/session/** | packages/redis-core/** | database/prisma/models/iam.prisma,Session 创建、查询、撤销、换人和权限版本校验全部以 Redis 为唯一运行时权威。,session lifecycle | replay/reuse | Redis unavailable | family revocation | concurrency,唯一 Session authority 明确 | 任何无法确认的会话均不恢复业务 UI,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,session-authority-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-05,实现 Authz Core 与 Scope Resolver,parent_codex,terra_contracts | terra_tester | terra_security,workspace-write,D,critical,HW02-01 | HW02-04,packages/authz-core/** | services/gateway/src/authz/** | database/prisma/models/config.prisma,以功能权限、数据范围和当前 Principal 版本三层裁决所有请求。,permission matrix | empty/invalid scope | stale authz version | deny precedence,客户端隐藏按钮不是权限边界 | 服务端每次写命令重新裁决,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,authz-scope-matrix.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-06,建立 Capability Registry 身份入口,terra_worker,terra_contracts | terra_tester,workspace-write,E,medium,HW02-05,packages/capability-contracts/** | services/gateway/src/registry/** | database/prisma/models/config.prisma,建立应用/能力注册表，为后续空间、卡片、事件、深链和权限提供唯一元数据源。,registry schema | unknown capability | disabled/version mismatch tests,不存在第二份静态应用清单 | 未授权 capability 不进入导航,terra,terra_reviewer,APPROVED,capability-registry-snapshot.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-07,Browser/Desktop Session 等价合同,terra_tester,terra_browser | terra_security,workspace-write,F,high,HW02-03 | HW02-04 | HW02-05,services/gateway/test/** | scripts/acceptance/identity/** | docs/security/**,用 synthetic 身份证明浏览器和 Tauri WebView 获取相同 Principal、policy、scope 和撤销行为。,browser acceptance | webview session probe | failure matrix,两类客户端无第二套 token/session | 共享终端不跨用户残留,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,identity-primary-chain-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-02,人员、组织、身份、Session 与授权主链,HW02-08,Identity & Access Gate,parent_codex,terra_reviewer | terra_security,read-only,G,critical,HW02-03 | HW02-04 | HW02-05 | HW02-06 | HW02-07,services/gateway/** | packages/identity-*/** | packages/authz-core/** | database/prisma/models/iam.prisma | database/prisma/models/config.prisma,确认人员中心、Session、权限和 Scope 可以作为所有后续服务的唯一入口。,full identity suite | security scan | failure drills | independent review,P0/P1 为零 | 允许 Workspace 与平台服务接入真实 Principal,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,G02-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-01,迁移 Tauri Trust Policy 与 Runtime,parent_codex,terra_migrator | terra_tester | terra_security,workspace-write,A,critical,,apps/desktop-shell/** | docs/migration/** | docs/security/**,从 legacy 固定 commit 复制并重绑定 Tauri 2、WebView2、Profile、Session termination、trusted resume 和证书策略。,cargo test trust-policy | Windows target cargo check | legacy-vs-new behavior matrix,安全测试数量和关键场景不减少 | 不存在 generic shell/fs/http/process plugin,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,desktop-migration-receipt.json | rust-test-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-02,创建 Workspace Web 骨架,terra_worker,luna_fixtures | terra_reviewer,workspace-write,A,medium,,apps/workspace-web/** | packages/ui/** | packages/workspace-contracts/**,建立 React 19 + Vite 8 的单一工作空间前端，不复制任何旧 Next.js 页面。,unit/component tests | production build | a11y smoke | base path test,无 Next.js/Prisma/server-only | 同一 build 可由浏览器与 Tauri 加载,terra,terra_reviewer,APPROVED,workspace-shell-screenshots | bundle-report.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-03,建立 Workspace Release Contract,terra_contracts,luna_fixtures | terra_tester,workspace-write,B,high,HW03-02,packages/release-contracts/** | apps/workspace-web/scripts/** | services/gateway/src/registry/** | infrastructure/nginx/**,将 Workspace 静态制品发布到不可变版本路径并由 Capability Registry 指针选择。,asset closure | hash tamper | base/deep-link refresh | rollback pointer,Tauri 与 Browser 加载同一 releaseId | 制品不依赖构建机路径,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,workspace-release-manifest.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-04,绑定 Workspace WebView 安全策略,parent_codex,terra_tester | terra_security,workspace-write,C,critical,HW03-01 | HW03-03,apps/desktop-shell/src-tauri/** | apps/desktop-shell/crates/trust-policy/**,将 Tauri 窗口精确绑定到 Registry 批准的 Workspace origin/path/release，并保持 remote capability none。,navigation matrix | wrong origin/path/label | audit failure | certificate policy,remote Workspace 无 native command | 任何安全钩子未就绪时不导航,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,webview-binding-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-05,实现安全 Deep Link Intent,parent_codex,terra_contracts | terra_tester | terra_security,workspace-write,D,high,HW03-04,packages/deep-link-contracts/** | apps/desktop-shell/src-tauri/** | apps/workspace-web/src/routing/**,支持 `hospital-workspace://capability/resource` 唤起，但只传递最小 route intent，不携带敏感正文或任意 URL。,parser property tests | malformed/fuzz | locked/resume | stale user,无法利用 deep link 绕过 Registry 或权限 | 切换人员后旧 intent 被丢弃,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,deep-link-matrix.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-06,迁移 Profile、Logout、Switch-Person 与 Trusted Resume,terra_tester,terra_migrator | terra_security,workspace-write,E,critical,HW03-01 | HW02-07,apps/desktop-shell/** | scripts/acceptance/desktop/**,在新 Gateway/Workspace 上复验旧 T26/T27 的共享终端安全机制。,lifecycle tests | forced failure | stale response | crash cleanup,关键 T25/T26/T27 场景完整 | 无跨用户本地状态,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,desktop-lifecycle-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-07,Browser/Desktop Workspace E2E,terra_browser,terra_tester | terra_reviewer,workspace-write,F,high,HW03-02 | HW03-04 | HW03-06,apps/workspace-web/e2e/** | scripts/acceptance/desktop/** | evidence/HW-03/**,证明两个客户端看到相同 release、Principal、权限、基础导航和错误遮罩。,Playwright browser | Windows Tauri probe | session equality,两端行为一致 | 证据无秘密或患者数据,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,browser-desktop-e2e-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-03,Tauri 可信桌面壳与统一 Workspace Web,HW03-08,Desktop/Web Foundation Gate,parent_codex,terra_reviewer | terra_security,read-only,G,critical,HW03-04 | HW03-05 | HW03-06 | HW03-07,apps/desktop-shell/** | apps/workspace-web/** | packages/deep-link-contracts/** | packages/release-contracts/**,确认桌面化只改变载体和原生体验，不创建第二套身份或扩大远程权限。,full Rust/TS/browser/desktop checks | security review,P0/P1 为零 | 允许后续平台事件和业务能力进入 Workspace,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,G03-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
