phase_id,task_id,task_title,status,primary_owner,supporting_agents,parallel_group,risk,acceptance_tier,acceptance_agents,required_acceptance_outcome,implementation_status,terra_review,sol_acceptance_status,branch,commit_or_pr,gate_result,evidence_path,blocked_by,notes
HW-01,HW01-05,创建 Prisma 多文件空基线,NOT_STARTED,parent_codex,terra_contracts | terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-01 | HW01-03,
HW-01,HW01-06,建立 repository-only 数据访问门,NOT_STARTED,terra_worker,terra_security | terra_reviewer,D,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-05,
HW-01,HW01-07,建立 Testkit 与 deterministic fixtures,NOT_STARTED,luna_fixtures,terra_tester,D,low,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-01 | HW01-02 | HW01-04,
HW-01,HW01-08,Core Kernel Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,E,critical,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-02 | HW01-04 | HW01-05 | HW01-06 | HW01-07,
HW-02,HW02-01,定义 Principal、Person 与 Organization Contracts,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,,
HW-02,HW02-02,迁移并净化医院 Identity Bridge,NOT_STARTED,terra_migrator,luna_explorer | terra_tester | terra_security,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-01,
HW-02,HW02-03,实现 Gateway/BFF 与 Logto 回调,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-01 | HW02-02,
HW-02,HW02-04,实现 Redis-only Session Authority,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-03 | HW01-03,
HW-02,HW02-05,实现 Authz Core 与 Scope Resolver,NOT_STARTED,parent_codex,terra_contracts | terra_tester | terra_security,D,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-01 | HW02-04,
HW-02,HW02-06,建立 Capability Registry 身份入口,NOT_STARTED,terra_worker,terra_contracts | terra_tester,E,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-05,
HW-02,HW02-07,Browser/Desktop Session 等价合同,NOT_STARTED,terra_tester,terra_browser | terra_security,F,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-03 | HW02-04 | HW02-05,
HW-02,HW02-08,Identity & Access Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,G,critical,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-02/,HW02-03 | HW02-04 | HW02-05 | HW02-06 | HW02-07,
HW-03,HW03-01,迁移 Tauri Trust Policy 与 Runtime,NOT_STARTED,parent_codex,terra_migrator | terra_tester | terra_security,A,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,,
HW-03,HW03-02,创建 Workspace Web 骨架,NOT_STARTED,terra_worker,luna_fixtures | terra_reviewer,A,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,,
HW-03,HW03-03,建立 Workspace Release Contract,NOT_STARTED,terra_contracts,luna_fixtures | terra_tester,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-02,
HW-03,HW03-04,绑定 Workspace WebView 安全策略,NOT_STARTED,parent_codex,terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-01 | HW03-03,
HW-03,HW03-05,实现安全 Deep Link Intent,NOT_STARTED,parent_codex,terra_contracts | terra_tester | terra_security,D,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-04,
HW-03,HW03-06,迁移 Profile、Logout、Switch-Person 与 Trusted Resume,NOT_STARTED,terra_tester,terra_migrator | terra_security,E,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-01 | HW02-07,
HW-03,HW03-07,Browser/Desktop Workspace E2E,NOT_STARTED,terra_browser,terra_tester | terra_reviewer,F,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-02 | HW03-04 | HW03-06,
HW-03,HW03-08,Desktop/Web Foundation Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,G,critical,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-03/,HW03-04 | HW03-05 | HW03-06 | HW03-07,
HW-04,HW04-01,迁移 Hub 核心资产到 Collaboration Service,NOT_STARTED,terra_migrator,luna_inventory | terra_tester | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,,
HW-04,HW04-02,建立 Event Catalog 与 Schema Registry,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW01-02,
HW-04,HW04-03,实现 Transactional Outbox SDK 与 Relay,NOT_STARTED,terra_worker,terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-01 | HW04-02 | HW01-05,
HW-04,HW04-04,实现 Durable Event Store、Inbox 与 Todo Projection,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-02 | HW04-03,
HW-04,HW04-05,实现 SSE Stream、Cursor 与 Gap Recovery,NOT_STARTED,terra_worker,terra_tester | terra_browser,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-04 | HW02-04,
HW-04,HW04-06,实现 Workspace Inbox/Todo/消息中心基础视图,NOT_STARTED,terra_worker,luna_fixtures | terra_browser,D,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-05,
HW-04,HW04-07,Synthetic Event End-to-End,NOT_STARTED,terra_tester,luna_fixtures | terra_browser,E,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-03 | HW04-05 | HW04-06,
HW-04,HW04-08,Event Collaboration Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,F,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-04/,HW04-03 | HW04-04 | HW04-05 | HW04-07,
HW-05,HW05-01,定义 Space、Thread、WorkItem 与 Activity Contracts,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,,
HW-05,HW05-02,定义 Card、Action 与 Canvas Protocol,NOT_STARTED,terra_contracts,luna_fixtures | terra_security,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW01-02 | HW05-01,
HW-05,HW05-03,实现 Work Item Projection 与 Query API,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-01 | HW04-04,
HW-05,HW05-04,实现 Harness、Decision 与 Handoff 状态机,NOT_STARTED,parent_codex,terra_contracts | terra_tester | terra_reviewer,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-01 | HW04-04,
HW-05,HW05-05,实现 Command Dispatcher 与 Action Receipt,NOT_STARTED,terra_worker,terra_tester | terra_security,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-02 | HW05-04,
HW-05,HW05-06,实现 Context Resolver 与最小化快照,NOT_STARTED,terra_worker,terra_contracts | terra_security,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-01 | HW02-05,
HW-05,HW05-07,实现 Workspace Space/Thread/Timeline/Card/Canvas Runtime,NOT_STARTED,terra_worker,terra_browser | luna_fixtures,D,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-02 | HW05-03 | HW05-05 | HW05-06,
HW-05,HW05-08,Synthetic Work Item & Harness E2E,NOT_STARTED,terra_tester,luna_fixtures | terra_browser,E,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-04 | HW05-05 | HW05-07,
HW-05,HW05-09,Work Item & Harness Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,F,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-05/,HW05-03 | HW05-04 | HW05-05 | HW05-06 | HW05-08,
HW-06,HW06-01,审计并白名单抽取 Legacy Ticket Domain,NOT_STARTED,terra_migrator,luna_explorer | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,,
HW-06,HW06-02,冻结 Ticket Contracts 与状态机,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-01,
HW-06,HW06-03,实现 Ticket Service 与数据库模型,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-02,
HW-06,HW06-04,实现 Ticket Outbox、事件与 WorkItem Mapping,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-03 | HW04-03 | HW05-03,
HW-06,HW06-05,实现受控附件链,NOT_STARTED,terra_worker,terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-03,
HW-06,HW06-06,实现 Workspace Tickets Capability,NOT_STARTED,terra_worker,terra_browser | luna_fixtures,D,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-02 | HW06-04 | HW06-05,
HW-06,HW06-07,多人并发、故障与恢复 E2E,NOT_STARTED,terra_tester,terra_browser | terra_security,E,critical,sol-acceptance,terra_reviewer | terra_security | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-04 | HW06-06,
HW-06,HW06-08,信息科内部 MVP Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,F,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-06/,HW06-03 | HW06-05 | HW06-07,
HW-07,HW07-01,审计并抽取 Legacy Fee Domain,NOT_STARTED,terra_migrator,luna_explorer | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,,
HW-07,HW07-02,冻结 Fee Contracts 与状态机,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-01,
HW-07,HW07-03,实现 Fee Service 与 Hosp Access Adapter,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-02,
HW-07,HW07-04,实现 Fee Outbox 与 WorkItem Mapping,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-03,
HW-07,HW07-05,实现 Workspace Fee Capability,NOT_STARTED,terra_worker,terra_browser | luna_fixtures,C,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-02 | HW07-04,
HW-07,HW07-06,确费安全、并发与恢复 E2E,NOT_STARTED,terra_tester,terra_browser | terra_security,D,critical,sol-acceptance,terra_reviewer | terra_security | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-03 | HW07-05,
HW-07,HW07-07,Fee Vertical Slice Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,E,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-07/,HW07-03 | HW07-04 | HW07-06,
HW-08,HW08-01,定义 Handover Contracts 与敏感度模型,NOT_STARTED,terra_contracts,luna_fixtures | terra_security,A,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,,
HW-08,HW08-02,实现 Handover Service,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-01,
HW-08,HW08-03,实现 Handover WorkItem 与 Workspace Capability,NOT_STARTED,terra_worker,terra_browser | terra_tester,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-02,
HW-08,HW08-04,定义 Schema App DSL v1,NOT_STARTED,terra_contracts,luna_fixtures | terra_security,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,,
HW-08,HW08-05,实现 Schema Renderer 与 Data Binding,NOT_STARTED,terra_worker,terra_tester | terra_browser,D,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-04 | HW05-05,
HW-08,HW08-06,实现 Schema App 签名发布与回滚,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,E,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-04 | HW02-06,
HW-08,HW08-07,交付首个 Synthetic Schema App,NOT_STARTED,luna_fixtures,terra_worker | terra_tester,F,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-05 | HW08-06,
HW-08,HW08-08,Handover & Schema App Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,G,critical,sol-phase-gate,terra_reviewer | terra_security | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-08/,HW08-02 | HW08-03 | HW08-05 | HW08-06 | HW08-07,
HW-09,HW09-01,定义 Agent Run、Task、Attempt 与 Approval Contracts,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,,
HW-09,HW09-02,建立 Agent Gateway 服务与 Provider Boundary,NOT_STARTED,terra_worker,terra_tester | terra_security,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-01,
HW-09,HW09-03,实现 Coordinator／Worker 编排,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_reviewer,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-01 | HW09-02,
HW-09,HW09-04,实现受控 Tool Registry 与 Risk Policy,NOT_STARTED,parent_codex,terra_contracts | terra_tester | terra_security,C,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-02 | HW02-05,
HW-09,HW09-05,集成 Harness、Decision、Handoff 与 Outbox,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-03 | HW09-04 | HW05-04,
HW-09,HW09-06,实现 Workspace Agent Team UI,NOT_STARTED,terra_worker,terra_browser | luna_fixtures,D,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-05,
HW-09,HW09-07,首个低风险 Agent：报修分诊建议,NOT_STARTED,terra_worker,luna_fixtures | terra_tester | terra_security,E,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-04 | HW09-06,
HW-09,HW09-08,Agent Red-Team 与 Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,F,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_architecture_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-09/,HW09-03 | HW09-04 | HW09-05 | HW09-07,
HW-10,HW10-01,定义 Knowledge Contracts 与生命周期,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,,
HW-10,HW10-02,实现 Knowledge Service 与数据库,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-01,
HW-10,HW10-03,实现 Knowledge WorkItem/Harness Mapping,NOT_STARTED,terra_worker,terra_tester | terra_reviewer,B,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-02 | HW05-04,
HW-10,HW10-04,实现 Workspace Knowledge Project Capability,NOT_STARTED,terra_worker,terra_browser | luna_fixtures,C,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-02 | HW10-03,
HW-10,HW10-05,实现知识整理 Coordinator／Worker,NOT_STARTED,terra_worker,terra_contracts | terra_tester | terra_security,D,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW09-03 | HW10-02,
HW-10,HW10-06,建立派生检索与 Provenance API,NOT_STARTED,terra_worker,terra_tester | terra_security,E,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-02,
HW-10,HW10-07,知识治理 E2E 与专家裁决测试,NOT_STARTED,terra_tester,terra_browser | terra_security,F,critical,sol-acceptance,terra_reviewer | terra_security | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-03 | HW10-04 | HW10-05 | HW10-06,
HW-10,HW10-08,Knowledge Governance Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,G,critical,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-10/,HW10-02 | HW10-05 | HW10-06 | HW10-07,
HW-11,HW11-01,定义 Surface Event 与隐私策略,NOT_STARTED,terra_contracts,luna_fixtures | terra_security,A,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-11/,,
HW-11,HW11-02,接受并实现最小 Workspace-only Native Bridge,NOT_STARTED,parent_codex,terra_worker | terra_tester | terra_security,B,critical,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-11/,HW11-01 | HW03-04,
HW-11,HW11-03,实现 Tray、Windows Toast 与 Island Projection,NOT_STARTED,terra_worker,terra_tester | terra_browser,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-11/,HW11-02,
